case_id,option,participant_id,date,calendar_summary,inferred_patterns_for_reviewer_context,recommendation,reason,burden,safety_note,relevance_1_5,behavioral_alignment_1_5,feasibility_1_5,safety_1_5,specificity_1_5,overall_preferred_A_or_B
S006,A,P002,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,low,No behavioral or clinical inference was made.,,,,,,
S006,B,P002,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,Add a short outdoor or campus walk before study block.,"Recent mobility became more restricted and concentrated around the same places, so a low-burden restorative movement block may fit.",low,"This is a gentle scheduling suggestion, not a diagnosis.",,,,,,
S007,A,P003,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,Keep study block at a consistent daytime slot and avoid moving it later.,"Recent sleep timing became less regular, so preserving predictable daytime anchors is a low-burden scheduling response.",low,The suggestion preserves fixed obligations and avoids clinical claims.,,,,,,
S007,B,P003,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,low,No behavioral or clinical inference was made.,,,,,,
S008,A,P003,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,Avoid adding late-day tasks after study block and preserve a predictable evening boundary.,Less regular sleep timing suggests that stable evening boundaries may be more appropriate than adding new flexible work.,low,The suggestion stays within calendar structure and avoids wellbeing diagnosis.,,,,,,
S008,B,P003,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",low,This suggestion is based only on calendar structure.,,,,,,
S009,A,P003,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",low,No fixed obligations were changed.,,,,,,
S009,B,P003,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,Anchor study block around the same time as earlier in the week.,"The inferred pattern is about timing instability, so the recommendation prioritizes regular schedule anchors.",low,No fixed obligations are changed.,,,,,,
S010,A,P004,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,Split study block into two shorter focus blocks with a break between them.,Fragmented attention plus shorter sleep suggests smaller work blocks may be more realistic than a long uninterrupted session.,medium,This changes only a flexible work block.,,,,,,
S010,B,P004,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",low,No fixed obligations were changed.,,,,,,
S011,A,P004,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,low,No behavioral or clinical inference was made.,,,,,,
S011,B,P004,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,Move the most demanding part of study block earlier in the day.,Shorter sleep and fragmented attention suggest protecting cognitively demanding work from late-day fatigue.,medium,No fixed events were changed.,,,,,,
S012,A,P004,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",low,This suggestion is based only on calendar structure.,,,,,,
S012,B,P004,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,Keep study block but move lower-priority tasks out of that block.,Recent sleep loss and attention fragmentation suggest preserving the block for the highest-priority work only.,low,The suggestion avoids canceling commitments.,,,,,,
S013,A,P005,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",low,This suggestion is based only on calendar structure.,,,,,,
S013,B,P005,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,Move the planning portion of optional work session to the afternoon and leave the evening lighter.,Late sleep onset and late-night screen use make evening workload a plausible scheduling pressure point.,medium,No fixed obligations are changed.,,,,,,
S014,A,P005,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",low,No fixed obligations were changed.,,,,,,
S014,B,P005,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",Shorten optional work session and set a firm evening stop time.,"The inferred pattern points to late-night activity pushing sleep later, so a clear stop time is a lower-disruption option than canceling the event.",medium,The recommendation keeps the event flexible and avoids clinical claims.,,,,,,
S015,A,P005,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",Move optional work session out of the late evening if possible.,Recent later sleep onset and elevated late-night phone use suggest protecting the evening wind-down period.,medium,The suggestion targets a flexible event and avoids changing fixed obligations.,,,,,,
S015,B,P005,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,low,No behavioral or clinical inference was made.,,,,,,
