case_id,option,participant_id,date,calendar_summary,layer_1_3_patterns_for_context,layer_4_patterns_for_context,recommendation,reason,grounded_in,safety_note,relevance_1_5,behavioral_alignment_1_5,feasibility_1_5,safety_1_5,specificity_1_5,overall_preferred_A_or_B
S006,A,P002,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,"Add a short 'get outside' walk or errand block (20–30 min) before the evening work block, e.g. 19:30–20:00","Mobility entropy has been pronounced-low for 3 days with nearly all time at top-3 familiar places. A brief, low-effort out-of-home slot introduces location variety without requiring a large schedule change, and acts as a natural daily anchor that can help re-regularize routine timing.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S006,B,P002,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S007,A,P003,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S007,B,P003,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,"Add a short Wind-down block at 22:30 (15–20 min) after the optional work session — e.g., 'Screen-off / wind-down' — to create a consistent sleep-prep anchor tonight.","The optional work session ends at 22:30, which is already a late anchor. Adding a brief, consistent wind-down ritual at the same time each night helps re-stabilize both sleep onset timing and daily routine regularity, directly addressing the mild circadian drift observed yesterday. It is low-burden and does not require moving any fixed events.","circadian-instability, sleep_regularity_index, social_rhythm_metric","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S008,A,P003,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,"Convert or cap the 'optional work session' (21:00–22:30) to end by 21:45, and add a Wind-down block from 21:45–22:15 on evenings this week","The optional work session running to 22:30 is the most likely contributor to the delayed sleep onset (~00:16 last night). Ending active work by 21:45 and inserting a consistent wind-down block creates a stable pre-sleep anchor, which directly addresses both the sleep onset drift and the social rhythm irregularity by giving the evening a predictable close.","circadian-instability, sleep_onset_hour, social_rhythm_metric","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S008,B,P003,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S009,A,P003,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S009,B,P003,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,"circadian-instability, late-night-activity-with-sleep-loss","Convert tonight's 'optional work session' (21:00–22:30) to end no later than 21:45, and add a 'Wind-down' block from 21:45–22:30 in its place","The optional work session currently runs until 22:30, leaving very little buffer before the observed ~00:22 sleep onset. Capping active work at 21:45 and protecting the remaining 45 minutes as a wind-down boundary creates a consistent nightly anchor that can help pull sleep onset earlier and stabilize the SRI over the coming days.","sleep_onset_hour, sleep_regularity_index, late-night-activity-with-sleep-loss","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S010,A,P004,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,fragmented-attention-with-sleep-loss,Add a 'Wind-down / screens off' block at 22:00–22:30 after the problem-set work ends,The problem-set block runs until 21:30. Adding a short wind-down buffer before midnight helps guard against the pattern where evening screen use or continued work delays sleep onset — relevant given the mild sleep shortfall observed yesterday. Keeping it to 30 minutes respects the low-burden preference.,"fragmented-attention-with-sleep-loss, sleep_duration_hours","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S010,B,P004,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S011,A,P004,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,"phone-mediated-sleep-delay-with-fragmented-attention, elevated-total-screen-with-attention-fragmentation",Add a 'Wind-down / screens off' block at 22:15 each evening,"Late-night screen use has been running ~54 min/night vs. a typical ~28 min, and the trajectory is a consistent 3-day drift. Placing a visible wind-down block at 22:15 creates a low-friction cue to close devices before the late-night window opens, directly targeting the upstream driver of both the sleep shortfall and the elevated total screen time.","late_night_screen_min, phone-mediated-sleep-delay-with-fragmented-attention","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S011,B,P004,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S012,A,P004,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,phone-mediated-sleep-delay-with-fragmented-attention,"Add a 'Wind-down / screens off' block at 22:00–22:30 each evening this week, replacing open phone time after the problem set block ends","Late-night screen use has been running ~39 minutes above baseline for 3 consecutive nights and is the most likely mechanism compressing sleep. A soft boundary at 22:00 creates a buffer before a target sleep time that would recover toward the 7.6h baseline. The block is low-burden — it is a reminder, not a hard commitment — and aligns with the user's preference to protect sleep.","late_night_screen_min, sleep_duration_hours, phone-mediated-sleep-delay-with-fragmented-attention","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S012,B,P004,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S013,A,P005,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S013,B,P005,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,phone-mediated-sleep-delay,"End the 'optional work session' by 21:45 instead of 22:30, and add a short Wind-down block from 21:45–22:15 (no work screens)","The optional work session currently runs to 22:30, which overlaps with the late-night screen window where usage has been elevated for 3 days. Trimming it by ~45 minutes and replacing the tail with a screen-free wind-down creates a natural cutoff before the drift window, giving sleep onset a better chance of returning toward the typical 23:07.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S014,A,P005,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S014,B,P005,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal","phone-mediated-sleep-delay, behavioral-withdrawal, social-rhythm-instability","Replace or cap the 'optional work session' (currently 21:00–22:30) with a hard stop at 21:45, and add a Wind-down block from 21:45–22:30 (no screens, light activity only)","The optional work session runs until 22:30, which is precisely the window where late-night screen use has been elevated. Ending work earlier and inserting a screen-free wind-down block removes the primary driver of delayed sleep onset without cancelling the session entirely — a low-burden change that directly targets the drift.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S015,A,P005,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S015,B,P005,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal","phone-mediated-sleep-delay, behavioral-withdrawal","Replace or cap the 'optional work session' (21:00–22:30) with a hard stop at 21:30, and add a Wind-down block from 21:30–22:30",Late-night screen use is running ~60 min over baseline and sleep onset has shifted 1.5h later over 3 consecutive days. The optional work session ending at 22:30 is a flexible event that sits squarely in the elevated screen-use window. Capping work at 21:30 and replacing the tail with a wind-down block creates a structural prompt to reduce screen engagement before the target sleep window.,"phone-mediated-sleep-delay, sleep_onset_hour, late_night_screen_min","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
