ID,Cluster,Category (The Folder),Paper Title,Paper Type,Main Mechanism (Tags),Filename/Link
9,Cognitive & Psychological,Cognitive Behavioral Therapy,Behavioral activation for children and adolescents: a systematic review of progress and promise,Meta-Analysis,"Positive Reinforcement, Activity Scheduling",
,Cognitive & Psychological,Biofeedback,Heart Rate Variability Biofeedback Improves Emotional and Physical Health and Performance: A Systematic Review and Meta Analysis,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/32385728/
,Cognitive & Psychological,Biofeedback,Efficacy of bio- and neurofeedback for depression: a meta-analysis,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/34776024/
,Cognitive & Psychological,Cognitive Behavioral Therapy,The Efficacy of Cognitive Behavioral Therapy: A Review of Meta-analyses,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/34776024/
,Cognitive & Psychological,Mindfulness/Meditation,Meditation Programs for Psychological Stress and Well-Being: A Systematic Review and Meta-analysis,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/24395196/
,Cognitive & Psychological,Mindfulness/Meditation,Mindfulness Enhances Cognitive Functioning: A Meta-Analysis of 111 Randomized Controlled Trials,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/37578065/
17,Cognitive & Psychological,Mindfulness/Meditation,The protective effect of daytime sleep on planning and risk-related decision-making in emerging adults,Protocol,"Napping, Decision Making, Cognitive Function",The protective effect...
20,Cognitive & Psychological,Mindfulness/Meditation,"Mindfulness-Based Relapse Prevention: History, Mechanisms of Action, and Effects",Protocol,,
21,Cognitive & Psychological,Mindfulness/Meditation,Loving-kindness meditation increases social connectedness,Protocol,,
27,Cognitive & Psychological,Cognitive Behavioral Therapy,A Therapist's Guide to Brief Cognitive Behavioral Therapy,Protocol,,"Ingest:- Module 13: Behavioral Activation (The ""Do Stuff"" script), Module 11-12: Identifying & Challenging Thoughts (The ""Think Better"" script), Module 16: Relaxation (The ""Calm Down"" script)"
,Cognitive & Psychological,Biofeedback,Protocol for Heart Rate Variability Biofeedback Training,Protocol,, https://www.researchgate.net/publication/289937389_Protocol_for_Heart_Rate_Variability_Biofeedback_Training
,Cognitive & Psychological,Biofeedback,HRV Biofeedback Protocol Guide (Scribd/Clinical),Protocol,,https://www.scribd.com/document/498599032/Protocol-for-Heart-Rate-Variability-Biofeedback-Training
,Cognitive & Psychological,Cognitive Behavioral Therapy,Problem-Solving Therapy (PST) - Patient Manual (VA / SPRC),Protocol,,https://sprc.org/wp-content/uploads/2022/12/Problem-Solving-Therapy.pdf
1,Environmental & Social,Academic/Work Stress,"The Role of Academic Motivation in Self-Regulation, Goal Orientation, and Passion Among Medical Students with Self-Handicapping Behaviors",Clinical Practice Guideline,"Self-Handicapping, Self-Regulation",
2,Environmental & Social,Academic/Work Stress,Fostering flow experiences at work: a framework and research agenda for flow interventions,Clinical Practice Guideline,"Challenge-Skill Balance, Flow Optimization",
,Environmental & Social,Loneliness,Public Health Guidelines for Social Connection: An International Delphi Study,Clinical Practice Guideline,,https://www.sciencedirect.com/science/article/abs/pii/S0168851025002076
,Environmental & Social,Kindness/Prosocial Behavior,Prosocial Behavior: Multilevel Perspectives,Clinical Practice Guideline,,https://pubmed.ncbi.nlm.nih.gov/15709940/
3,Environmental & Social,Academic/Work Stress,Strengths and challenges to embrace attention-deficit/hyperactivity disorder in employment - A systematic review,Meta-Analysis,"Neurodiversity, Employment, Accommodations",Strengths and challenges...
16,Environmental & Social,Academic/Work Stress,Effectiveness of Mobile App-Based Psychological Interventions for College Students: A Systematic Review of the Literature,Meta-Analysis,"Oxytocin, Social Connection",Social_Buffering.pdf
28,Environmental & Social,Kindness/Prosocial Behavior,Happy to help? A systematic review and meta-analysis of the effects of performing acts of kindness on the well-being of the actor,Meta-Analysis,,https://www.sciencedirect.com/science/article/pii/S0022103117303451
29,Environmental & Social,Kindness/Prosocial Behavior,"Prosocial Interventions and Health Outcomes
A Systematic Review and Meta-Analysis",Meta-Analysis,,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812720
,Environmental & Social,Loneliness,The effectiveness of psychological interventions for loneliness: A systematic review and meta-analysis,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/34339939/
,Environmental & Social,Loneliness,A meta-analysis of interventions to reduce loneliness,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/20716644/
4,Environmental & Social,Academic/Work Stress,"The associations between resilience, self-care, and burnout among medical students",Protocol,"Resilience, Self-Care, Medical Students",Associations btwn resilience...
5,Environmental & Social,Academic/Work Stress,Adult ADHD-Related Poor Quality of Life: Investigating the Role of Procrastination,Protocol,"Procrastination, Quality of Life, ADHD",Adult ADHD-Related Poor Quality of Life...
6,Environmental & Social,Academic/Work Stress,Strategies for Coping with Time-Related and Productivity Challenges of Young People with Learning Disabilities and Attention-Deficit/Hyperactivity Disorder,Protocol,"Actionable Strategies: Time Management, Coping",Strategies for Coping...
15,Environmental & Social,Loneliness,Peer support groups through an experiential lens,Protocol,Social Support Dynamics,
32,Environmental & Social,Kindness/Prosocial Behavior,Practicing Other-Focused Kindness and Self-Focused Kindness Among Those at Risk for Mental Illness: Results of a Randomized Controlled Trial,Protocol,,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2021.741546/full
33,Environmental & Social,Kindness/Prosocial Behavior,Pursuing Happiness: The Architecture of Sustainable Change,Protocol,,https://greatergood.berkeley.edu/images/uploads/Pursuing_Happiness-_The_Architecture_of_Sustainable_Change.pdf
34,Environmental & Social,Kindness/Prosocial Behavior,To whom should I be kind? A randomized trial about kindness for strong and weak social ties on mental wellbeing and its specific mechanisms of change,Protocol,,https://internationaljournalofwellbeing.org/index.php/ijow/article/view/1489
,Environmental & Social,Loneliness,Internet-Based Cognitive Behavior Therapy for Loneliness: A Pilot Randomized Controlled Trial,Protocol,,https://pubmed.ncbi.nlm.nih.gov/32005340/
,Environmental & Social,Loneliness,Groups 4 Health: Evidence that a social-identity intervention that builds and strengthens social group membership improves mental health,Protocol,,https://pubmed.ncbi.nlm.nih.gov/26828756/
22,Meta-Strategy,Motivation,Intrinsic and extrinsic motivation from a self-determination theory perspective,Clinical Practice Guideline,Self-Determination Theory (SDT),
,Meta-Strategy,Gamification,Persuasive Systems Design,Clinical Practice Guideline,,https://www.taylorfrancis.com/chapters/edit/10.4324/9781351252928-6/persuasive-systems-design-harri-oinas-kukkonen-marja-harjumaa
12,Meta-Strategy,Gamification,Time to Form a Habit: A Systematic Review and Meta-Analysis of Health Behaviour Habit Formation and Its Determinants,Meta-Analysis,"High Evidence: Habit Formation, Automaticity",Time to Form a Habit...
,Meta-Strategy,Motivation,Implementation Intentions and Goal Achievement: A Meta‐analysis of Effects and Processes,Meta-Analysis,,https://www.sciencedirect.com/science/chapter/bookseries/abs/pii/S0065260106380021
,Meta-Strategy,Motivation,"A meta-analysis of self-determination theory-informed intervention studies in the health domain: effects on motivation, health behavior, physical, and psychological health",Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/31983293/
,Meta-Strategy,Gamification,Gamification for health and wellbeing: A systematic review of the literature,Meta-Analysis,,https://www.sciencedirect.com/science/article/pii/S2214782916300380
13,Meta-Strategy,Gamification,Implementation Intentions,Protocol,"If-Then Planning, Cue-Response",
,Meta-Strategy,Motivation,From Fantasy to Action: Mental Contrasting with Implementation Intentions (MCII) Improves Academic Performance in Children,Protocol,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4106484/
,Meta-Strategy,Motivation,"Self-determination theory and the facilitation of intrinsic motivation, social development, and well-being",Protocol,,https://pubmed.ncbi.nlm.nih.gov/11392867/
,Meta-Strategy,Gamification,Gamification as an approach to improve resilience and reduce attrition in mobile mental health interventions: A randomized controlled trial,Protocol,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0237220
